"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Bioengineered Future","G","R","22253","3.56","3095","4.89","8486","48.2%","47.9%","1452","44.5%","1971","42.7%","3423","43.4%","5055","50.8%","-7.4pp"
"Biosynthic Burst","G","C","224983","5.61","37972","7.81","156452","67.8%","56.0%","26129","55.1%","37511","58.4%","63640","57.1%","92435","55.3%","1.8pp"
"Blooming Stinger","G","C","217074","5.24","36486","7.45","176783","79.7%","55.5%","32047","55.8%","41260","55.1%","73307","55.4%","103098","55.5%","-0.1pp"
"Broodguard Elite","G","U","57572","3.50","10987","4.59","52578","81.0%","53.0%","8872","51.0%","12741","54.4%","21613","53.0%","30874","53.0%","-0.1pp"
"Close Encounter","G","U","55600","3.30","16701","4.05","90728","89.7%","55.7%","15357","54.5%","22287","57.9%","37644","56.5%","52748","55.1%","1.4pp"
"Diplomatic Relations","G","C","171701","4.04","41632","5.25","223430","88.1%","55.8%","37218","54.8%","54716","58.2%","91934","56.8%","130536","55.0%","1.8pp"
"Drix Fatemaker","G","C","205624","4.97","30405","7.28","126003","69.5%","53.8%","21128","52.4%","29804","54.9%","50932","53.8%","74910","53.7%","0.1pp"
"Edge Rover","G","U","56688","3.41","17787","4.09","99530","91.3%","56.3%","18262","60.0%","22716","55.0%","40978","57.2%","57169","55.6%","1.6pp"
"Eumidian Terrabotanist","G","U","59189","3.53","16377","4.41","90592","90.9%","55.7%","16437","57.8%","21017","55.3%","37454","56.4%","52960","55.2%","1.2pp"
"Eusocial Engineering","G","U","54583","3.37","15927","3.99","81904","85.0%","55.7%","14179","57.4%","19876","56.7%","34055","57.0%","47499","54.6%","2.3pp"
"Famished Worldsire","G","M","7270","2.41","2767","2.53","13266","80.2%","54.1%","2129","52.7%","3360","57.1%","5489","55.4%","7760","53.2%","2.2pp"
"Frenzied Baloth","G","R","17350","2.75","4476","3.21","21837","81.7%","54.9%","3934","57.1%","5026","55.4%","8960","56.2%","12858","53.9%","2.2pp"
"Fungal Colossus","G","C","246408","6.60","38105","9.29","91307","39.6%","55.0%","15254","53.3%","23262","57.0%","38516","55.5%","52582","54.5%","1.0pp"
"Galactic Wayfarer","G","C","144897","3.53","48259","4.19","274303","92.3%","56.7%","49527","59.1%","66064","57.8%","115591","58.4%","157776","55.4%","2.9pp"
"Gene Pollinator","G","C","185134","4.47","46532","5.68","243117","85.6%","56.2%","44654","60.7%","56043","54.4%","100697","57.2%","139922","55.4%","1.9pp"
"Germinating Wurm","G","C","223337","5.44","39390","7.59","169620","70.7%","55.7%","29261","53.8%","41730","57.4%","70991","55.9%","98285","55.6%","0.3pp"
"Glacier Godmaw","G","U","39770","2.59","18190","2.76","103968","92.5%","56.9%","16937","56.0%","26390","61.9%","43327","59.6%","60373","54.8%","4.8pp"
"Harmonious Grovestrider","G","U","56712","3.47","17489","4.08","96383","89.8%","56.5%","16167","56.8%","23837","59.3%","40004","58.3%","56177","55.2%","3.1pp"
"Hemosymbic Mite","G","U","87887","5.50","11729","8.06","28875","41.0%","54.0%","5169","56.2%","6426","51.9%","11595","53.8%","16677","54.0%","-0.2pp"
"Icecave Crasher","G","C","228590","5.76","40047","7.95","165561","67.7%","56.0%","28055","55.0%","40096","56.5%","68151","55.9%","97172","56.0%","-0.1pp"
"Icetill Explorer","G","R","15615","2.55","4523","2.75","19832","74.9%","52.5%","3438","51.3%","4804","53.0%","8242","52.3%","11566","52.5%","-0.2pp"
"Intrepid Tenderfoot","G","C","226215","5.61","34855","8.14","141330","67.4%","55.0%","25765","54.4%","32814","54.5%","58579","54.4%","82651","55.3%","-0.9pp"
"Larval Scoutlander","G","U","44563","2.78","17621","3.11","98635","90.9%","56.8%","17635","60.4%","23662","58.1%","41297","59.1%","56812","55.1%","4.0pp"
"Lashwhip Predator","G","U","65026","3.86","13268","5.07","62566","78.8%","54.5%","10342","52.7%","15498","55.8%","25840","54.5%","36719","54.3%","0.2pp"
"Loading Zone","G","R","26861","4.24","3150","6.57","4540","24.9%","46.7%","769","40.7%","1025","42.7%","1794","41.9%","2744","49.9%","-8.1pp"
"Meltstrider Eulogist","G","U","72426","4.34","11741","6.00","47289","67.6%","53.9%","8301","53.0%","10885","53.6%","19186","53.3%","28106","54.3%","-1.0pp"
"Meltstrider's Gear","G","C","262426","7.99","28007","11.83","5742","3.4%","49.6%","927","48.9%","1318","48.6%","2245","48.7%","3486","50.2%","-1.5pp"
"Meltstrider's Resolve","G","U","53876","3.27","17747","3.84","98350","90.2%","56.9%","16331","57.7%","23784","59.5%","40115","58.8%","57820","55.5%","3.3pp"
"Mightform Harmonizer","G","R","10919","1.83","6217","1.81","34641","92.1%","56.2%","5800","57.1%","8553","60.7%","14353","59.3%","20207","54.0%","5.3pp"
"Ouroboroid","G","M","3934","1.35","3075","1.33","18051","91.8%","59.5%","3210","65.0%","4642","66.1%","7852","65.7%","10176","54.5%","11.1pp"
"Pull Through the Weft","G","U","98795","6.43","12217","9.61","13442","18.5%","51.4%","2205","46.6%","3325","52.9%","5530","50.4%","7905","52.2%","-1.8pp"
"Sami's Curiosity","G","C","211517","5.18","36927","7.24","155490","70.3%","54.3%","28466","55.7%","36823","52.6%","65289","54.0%","89860","54.6%","-0.6pp"
"Seedship Agrarian","G","U","40309","2.53","15783","2.88","89296","93.6%","55.6%","15221","56.4%","22113","57.2%","37334","56.9%","51819","54.6%","2.3pp"
"Seedship Impact","G","U","70377","4.21","16797","5.28","83448","81.3%","56.2%","14647","56.7%","19996","58.4%","34643","57.6%","48507","55.1%","2.5pp"
"Shattered Wings","G","C","250537","6.88","30179","10.25","44736","24.7%","52.3%","7480","49.2%","10829","53.7%","18309","51.8%","26334","52.6%","-0.7pp"
"Skystinger","G","C","248571","6.70","30600","10.00","53298","28.8%","53.5%","9439","52.1%","12444","53.5%","21883","52.9%","31377","53.9%","-1.0pp"
"Sledge-Class Seedship","G","R","16579","2.67","5115","2.95","24332","78.9%","55.5%","4167","57.8%","5813","56.1%","9980","56.8%","14273","54.5%","2.3pp"
"Tapestry Warden","G","U","83072","5.06","12159","7.31","37323","51.6%","53.2%","6235","52.0%","9142","55.0%","15377","53.8%","21916","52.8%","1.0pp"
"Terrasymbiosis","G","R","21732","3.57","3620","4.67","9805","47.4%","49.9%","1667","47.2%","2240","48.4%","3907","47.9%","5891","51.3%","-3.4pp"
"Thawbringer","G","C","234995","6.00","41853","8.22","167736","65.7%","56.0%","29788","55.0%","39959","55.9%","69747","55.5%","97666","56.3%","-0.8pp"
"Alpharael, Dreaming Acolyte","UB","U","81102","5.13","15661","6.65","54425","57.8%","55.5%","9622","58.0%","16818","58.9%","26440","58.6%","27403","52.3%","6.3pp"
"Biomechan Engineer","UG","U","51093","3.39","20520","3.61","105505","83.7%","57.3%","18471","61.5%","27261","59.6%","45732","60.4%","58883","54.8%","5.6pp"
"Biotech Specialist","RG","R","15945","2.72","6303","2.71","30593","79.3%","56.7%","5495","60.7%","7218","59.3%","12713","59.9%","17822","54.4%","5.4pp"
"Cosmogoyf","BG","R","38250","5.63","4690","8.90","308","1.1%","","68","","66","","134","","176","",""
"Dyadrine, Synthesis Amalgam","WG","R","16234","2.76","5732","2.87","25755","74.7%","55.8%","4387","56.8%","6152","58.4%","10539","57.7%","14819","54.0%","3.7pp"
"Genemorph Imago","UG","R","14874","2.64","7536","2.53","38442","83.3%","57.2%","6726","62.6%","10033","61.7%","16759","62.1%","21395","53.3%","8.8pp"
"Haliya, Ascendant Cadet","WG","U","65128","4.26","12536","5.43","49595","66.1%","54.7%","8190","54.3%","11560","56.0%","19750","55.3%","28919","53.9%","1.4pp"
"Infinite Guideline Station","WUBRG","R","38403","5.46","4839","8.49","1353","4.7%","48.9%","209","","348","","557","47.0%","786","50.0%","-3.0pp"
"Interceptor Mechan","BR","U","64568","4.00","14926","5.09","64249","71.9%","54.6%","10717","54.2%","16713","59.4%","27430","57.4%","36697","52.5%","4.9pp"
"Mm'menon, Uthros Exile","UR","U","71745","4.71","13102","6.11","45808","59.8%","52.1%","7912","52.4%","12690","53.5%","20602","53.1%","24825","51.2%","1.9pp"
"Mutinous Massacre","BR","R","18807","3.21","6342","3.28","27023","70.1%","55.5%","4569","55.0%","7157","62.5%","11726","59.6%","15255","52.4%","7.1pp"
"Pinnacle Emissary","UR","R","16131","2.86","5800","2.85","24455","71.4%","53.8%","4252","56.8%","6665","59.1%","10917","58.2%","13131","49.8%","8.4pp"
"Ragost, Deft Gastronaut","WR","R","28142","4.38","4123","6.27","8205","34.3%","51.0%","1484","50.3%","1915","50.9%","3399","50.7%","4679","50.8%","-0.2pp"
"Sami, Ship's Engineer","WR","U","82189","5.26","11045","7.58","26759","40.9%","51.9%","4544","51.5%","6327","51.5%","10871","51.5%","15344","51.8%","-0.3pp"
"Sami, Wildcat Captain","WR","M","10495","3.49","1841","4.40","4623","43.4%","49.6%","762","50.4%","1095","51.5%","1857","51.1%","2683","48.3%","2.7pp"
"Seedship Broodtender","BG","U","80845","5.11","14903","6.81","46349","52.2%","53.6%","8079","54.5%","11369","55.5%","19448","55.1%","26828","52.6%","2.5pp"
"Singularity Rupture","UB","R","17499","2.96","6407","3.04","28415","73.9%","54.9%","4829","55.6%","8686","61.1%","13515","59.2%","14535","50.9%","8.2pp"
"Space-Time Anomaly","WU","R","30580","4.70","4799","6.70","8611","30.6%","53.0%","1479","52.0%","2563","58.4%","4042","56.1%","4472","49.8%","6.2pp"
"Station Monitor","WU","U","66441","4.30","16971","5.06","69321","67.6%","55.8%","12398","58.5%","19549","59.6%","31947","59.2%","36558","52.7%","6.5pp"
"Syr Vondam, Sunstar Exemplar","WB","R","15538","2.70","5435","2.66","23915","72.3%","56.4%","4324","60.4%","5929","59.6%","10253","59.9%","13269","53.2%","6.8pp"
"Syr Vondam, the Lucent","WB","U","66064","4.26","13205","5.35","52098","65.7%","55.6%","8627","54.9%","13275","59.5%","21902","57.7%","29306","53.6%","4.0pp"
"Tannuk, Memorial Ensign","RG","U","63226","4.05","14599","5.03","65296","74.2%","55.4%","11474","55.3%","14980","56.6%","26454","56.0%","38771","55.0%","1.1pp"
"All-Fates Scroll","","U","88322","5.11","14927","7.19","46278","52.5%","53.4%","8462","52.4%","12004","55.8%","20466","54.4%","25589","52.5%","1.9pp"
"Bygone Colossus","","U","100640","6.41","10251","9.98","7200","12.0%","46.9%","1131","39.8%","1792","47.4%","2923","44.5%","4253","48.6%","-4.1pp"
"Chrome Companion","","C","255602","6.87","32282","10.13","59185","30.5%","53.2%","10873","51.8%","14973","54.0%","25846","53.1%","33193","53.2%","-0.2pp"
"Dauntless Scrapbot","","U","59167","3.34","18562","4.19","107230","95.1%","55.6%","19616","56.3%","27460","57.1%","47076","56.8%","59650","54.6%","2.2pp"
"Dawnsire, Sunstar Dreadnought","","M","5503","1.88","2014","1.85","9617","82.4%","50.3%","1576","46.7%","2535","51.0%","4111","49.3%","5399","51.0%","-1.6pp"
"The Dominion Bracelet","","M","10820","3.44","1854","4.49","5049","47.1%","51.3%","883","45.1%","1211","52.5%","2094","49.4%","2935","52.5%","-3.2pp"
"The Endstone","","M","4928","1.69","3324","1.67","18367","93.2%","54.2%","3079","52.8%","4993","57.6%","8072","55.8%","10105","52.9%","2.9pp"
"The Eternity Elevator","","R","34863","5.12","3639","8.44","1013","4.7%","45.0%","157","","272","","429","","579","46.8%",""
"Extinguisher Battleship","","R","8985","1.51","6271","1.49","34665","91.5%","55.2%","5696","53.6%","9430","60.1%","15126","57.7%","19170","53.2%","4.5pp"
"Nutrient Block","","C","239694","5.91","38514","8.52","122897","53.4%","54.0%","22703","53.5%","33243","55.7%","55946","54.8%","66008","53.3%","1.5pp"
"Pinnacle Kill-Ship","","C","219898","5.10","39057","7.31","167815","71.1%","55.3%","27630","52.7%","44226","59.0%","71856","56.6%","94335","54.2%","2.4pp"
"Survey Mechan","","U","83068","4.84","16297","6.47","59142","60.3%","54.7%","9995","52.5%","15597","58.6%","25592","56.2%","33051","53.4%","2.9pp"
"Thaumaton Torpedo","","C","263283","7.60","29339","11.20","16430","9.4%","50.7%","2808","45.5%","4217","52.0%","7025","49.4%","9241","51.6%","-2.2pp"
"Thrumming Hivepool","","R","8659","1.47","6726","1.44","39625","97.7%","55.4%","6879","56.5%","10594","58.4%","17473","57.7%","21862","53.5%","4.2pp"
"Virulent Silencer","","U","96668","6.18","9796","9.69","13065","22.7%","49.4%","2399","48.7%","3354","50.9%","5753","50.0%","7259","49.0%","1.0pp"
"Wurmwall Sweeper","","C","235085","5.66","32501","8.47","98793","50.7%","53.6%","18424","52.9%","24811","54.3%","43235","53.7%","54683","53.5%","0.1pp"
"Adagia, Windswept Bastion","","M","8983","2.86","2379","3.37","11171","77.4%","55.0%","2061","57.7%","2790","54.2%","4851","55.7%","6272","54.5%","1.3pp"
"Breeding Pool","","R","29453","3.70","6371","5.04","25735","67.1%","55.5%","4848","56.9%","6235","55.8%","11083","56.3%","14545","54.8%","1.5pp"
"Command Bridge","","C","233504","5.65","35636","8.27","142806","68.0%","52.8%","26869","52.2%","35442","52.7%","62311","52.5%","80151","53.1%","-0.6pp"
"Evendo, Waking Haven","","M","13591","4.02","1714","6.10","4189","41.4%","52.9%","766","55.5%","1016","49.9%","1782","52.3%","2390","53.1%","-0.8pp"
"Godless Shrine","","R","30065","3.82","4992","5.55","15920","53.6%","54.1%","2908","55.0%","3981","52.4%","6889","53.5%","8997","54.5%","-1.0pp"
"Kavaron, Memorial World","","M","10382","3.15","2838","3.65","13531","78.4%","56.2%","2445","60.7%","3313","57.2%","5758","58.7%","7728","54.4%","4.3pp"
"Sacred Foundry","","R","32816","4.17","4806","6.24","12180","42.8%","52.8%","2179","52.5%","2923","52.3%","5102","52.4%","7067","53.0%","-0.7pp"
"Secluded Starforge","","R","16055","2.55","7123","2.70","41238","95.5%","56.3%","7019","56.4%","10825","60.2%","17844","58.7%","23131","54.3%","4.4pp"
"Stomping Ground","","R","29877","3.79","5623","5.29","21250","63.0%","55.0%","4108","57.5%","4965","54.1%","9073","55.6%","12144","54.4%","1.2pp"
"Susur Secundi, Void Altar","","M","10812","3.27","2131","4.22","9057","71.8%","53.1%","1698","51.9%","2389","51.9%","4087","51.9%","4939","54.1%","-2.2pp"
"Uthros, Titanic Godcore","","M","14673","4.25","1858","6.61","3217","29.7%","49.3%","601","48.3%","868","51.4%","1469","50.1%","1733","48.8%","1.3pp"
"Watery Grave","","R","30277","3.84","6091","5.33","22194","61.3%","53.7%","4085","55.2%","6128","54.0%","10213","54.5%","11859","53.0%","1.4pp"
"Warping Wail","","U","4400","5.97","438","","85","3.2%","","10","","22","","32","","54","",""
"Deafening Silence","W","U","4409","6.28","457","","42","1.6%","","8","","13","","21","","21","",""
"Robe of Stars","W","R","3449","4.66","364","","462","21.9%","","77","","103","","180","","282","",""
"Nexus of Fate","U","M","1929","2.82","593","3.12","2549","73.8%","52.8%","458","","1019","56.5%","1477","53.9%","1367","52.4%","1.5pp"
"Paradox Haze","U","U","4612","6.57","517","10.40","15","0.5%","","0","","5","","5","","10","",""
"Darkness","B","C","4419","6.22","397","","202","8.6%","","29","","47","","76","","126","",""
"Magus of the Moon","R","R","4030","5.47","442","","56","2.2%","","6","","14","","20","","36","",""
"Burgeoning","G","R","3299","4.91","351","","300","14.0%","","48","","82","","130","","170","",""
"Green Sun's Zenith","G","R","2146","3.05","595","3.49","2578","73.4%","56.6%","458","","822","60.8%","1280","57.9%","1491","56.3%","1.6pp"
"Sliver Overlord","WUBRG","M","3588","4.83","416","","31","1.2%","","6","","10","","16","","12","",""
"Ancient Tomb","","M","1966","2.66","540","2.92","2628","82.1%","54.6%","458","","625","50.2%","1083","54.0%","1531","55.0%","-1.0pp"
"Blast Zone","","R","8062","4.68","1122","6.91","3887","56.6%","55.1%","622","55.1%","1039","56.1%","1661","55.7%","2213","54.7%","1.1pp"
"Blinkmoth Nexus","","R","6487","3.77","1592","4.71","8068","84.2%","56.3%","1359","53.9%","2162","60.0%","3521","57.7%","4515","55.1%","2.5pp"
"Bonders' Enclave","","R","6857","3.89","1352","5.13","6761","84.2%","54.5%","1088","55.3%","1740","56.7%","2828","56.2%","3905","53.2%","3.0pp"
"Cascading Cataracts","","R","9104","5.62","1054","8.69","1256","20.0%","48.6%","204","","310","","514","48.8%","738","48.5%","0.3pp"
"Cathedral of War","","R","7430","4.29","1411","5.70","6603","78.3%","55.7%","1136","57.7%","1675","54.7%","2811","55.9%","3771","55.5%","0.4pp"
"Celestial Colonnade","","R","5197","3.27","1773","3.66","7791","73.1%","56.4%","1494","62.1%","2116","60.6%","3610","61.2%","4111","51.9%","9.4pp"
"Contested War Zone","","R","10388","6.55","1252","10.11","177","2.3%","","27","","56","","83","","92","",""
"Creeping Tar Pit","","R","5715","3.40","1803","3.98","8060","74.2%","55.6%","1528","61.7%","2295","58.6%","3823","59.8%","4170","51.6%","8.3pp"
"Crystal Quarry","","R","9883","6.04","1216","9.35","877","12.0%","53.0%","181","","198","","379","","494","",""
"Deserted Temple","","M","4964","6.33","587","9.74","211","6.1%","","34","","56","","90","","119","",""
"Dust Bowl","","M","4880","5.98","542","9.39","306","9.3%","","38","","68","","106","","199","",""
"Echoing Deeps","","R","10433","6.32","1237","9.70","524","7.0%","49.0%","89","","149","","238","","285","",""
"Eldrazi Temple","","R","9668","6.08","1129","9.36","228","3.4%","","44","","45","","89","","138","",""
"Endless Sands","","R","9561","5.69","1165","8.65","2219","32.6%","51.1%","351","","613","53.8%","964","52.2%","1247","50.3%","1.9pp"
"Gemstone Caverns","","M","3501","4.24","411","","970","39.1%","53.2%","166","","250","","416","","555","53.7%",""
"Grove of the Burnwillows","","M","3834","4.45","628","6.27","2095","56.2%","52.6%","407","","514","54.5%","921","53.9%","1169","51.7%","2.2pp"
"High Market","","R","9848","5.72","1284","8.69","2509","32.8%","53.3%","430","","632","56.2%","1062","53.1%","1438","53.3%","-0.2pp"
"Hissing Quagmire","","R","6895","4.08","1502","5.42","5325","58.6%","55.2%","1053","58.8%","1256","55.2%","2309","56.8%","3001","54.0%","2.8pp"
"Inkmoth Nexus","","M","3136","3.78","538","5.05","2408","73.9%","54.8%","415","","632","53.2%","1047","51.9%","1350","57.3%","-5.5pp"
"Inventors' Fair","","M","3575","4.22","563","6.12","2038","61.2%","53.7%","321","","546","55.7%","867","55.7%","1158","52.2%","3.5pp"
"Lavaclaw Reaches","","R","6658","3.97","1461","5.15","6002","67.2%","56.2%","1041","59.8%","1477","59.0%","2518","59.3%","3470","54.0%","5.3pp"
"Lotus Field","","M","3814","4.59","427","","815","33.0%","46.4%","151","","213","","364","","448","",""
"Lumbering Falls","","R","6416","3.79","1666","4.73","7307","73.3%","54.6%","1324","59.5%","1807","54.2%","3131","56.5%","4129","53.2%","3.3pp"
"Mana Confluence","","M","3198","3.79","478","","1727","62.2%","52.6%","338","","427","","765","54.5%","957","51.0%","3.5pp"
"Meteor Crater","","R","8473","5.17","853","8.46","1045","20.9%","49.4%","180","","270","","450","","593","50.3%",""
"Mirrorpool","","M","4206","5.13","472","","669","24.2%","51.0%","114","","189","","303","","363","",""
"Mutavault","","M","2724","3.27","729","4.05","3877","87.9%","55.4%","628","56.8%","1015","56.8%","1643","56.8%","2215","54.3%","2.5pp"
"Mystifying Maze","","R","8552","4.99","1005","7.74","2613","44.5%","52.4%","432","","693","54.1%","1125","53.3%","1470","51.7%","1.6pp"
"Needle Spires","","R","7468","4.34","1196","6.23","3410","48.5%","53.2%","657","59.7%","770","56.1%","1427","57.7%","1977","50.0%","7.8pp"
"Nesting Grounds","","R","9975","5.97","1120","9.20","1051","15.7%","49.3%","174","","255","","429","","621","49.1%",""
"Petrified Field","","M","5152","6.51","632","9.92","247","6.5%","","48","","56","","104","","143","",""
"Plaza of Heroes","","M","4755","5.58","534","8.87","396","12.6%","","78","","107","","185","","211","",""
"Power Depot","","R","8402","5.01","1025","7.66","2486","42.7%","50.4%","445","","637","49.9%","1082","49.4%","1385","51.1%","-1.7pp"
"Raging Ravine","","R","5492","3.40","1483","4.16","6684","74.6%","55.8%","1256","58.3%","1545","58.0%","2801","58.1%","3860","54.0%","4.1pp"
"Reflecting Pool","","M","3749","4.36","420","","1441","58.1%","51.9%","245","","361","","606","52.8%","832","51.3%","1.5pp"
"Scavenger Grounds","","R","10292","6.57","1250","10.10","430","5.8%","","72","","101","","173","","256","",""
"Shambling Vent","","R","6676","3.84","1360","5.08","5047","62.1%","55.6%","979","57.3%","1229","57.5%","2208","57.4%","2826","54.4%","3.1pp"
"Stirring Wildwood","","R","6519","3.81","1393","5.10","5521","64.6%","56.8%","1008","60.0%","1312","58.0%","2320","58.9%","3198","55.3%","3.6pp"
"Strip Mine","","M","2715","3.34","729","3.86","3602","80.4%","56.3%","612","54.6%","956","58.1%","1568","56.7%","2023","56.0%","0.7pp"
"Sunken Citadel","","R","7977","4.53","1400","6.58","6613","79.5%","55.0%","1249","57.3%","1664","54.9%","2913","56.0%","3686","54.2%","1.7pp"
"Swarmyard","","R","8724","5.29","1577","7.26","5191","54.3%","56.3%","830","57.7%","1276","57.8%","2106","57.7%","3066","55.3%","2.5pp"
"Terrain Generator","","R","9301","5.68","1008","8.96","1129","18.9%","50.9%","184","","295","","479","","649","49.9%",""
"Thespian's Stage","","R","10228","6.08","1188","9.44","664","9.5%","48.2%","128","","161","","289","","370","",""
"Wandering Fumarole","","R","7469","4.31","1491","6.00","5270","59.6%","53.9%","1008","56.7%","1341","55.6%","2349","56.1%","2889","52.3%","3.8pp"
